### BSdrift_n40_M10000_v0.5_mu-0.8_S010_std0.1_tmax1
i t1 x1 t2 x2 t3 x3
303 0.1 8.575 0.5 6.6 1 4.625
304 0.1 9.2 0.5 6.1 1 4
305 0.1 9.05 0.5 5.9 1 4.025
306 0.1 9.1 0.5 6.8 1 4.55
307 0.1 8.925 0.5 5.775 1 3.625
308 0.1 9.15 0.5 6.8 1 4.15
309 0.1 9.325 0.5 6.325 1 4.8
310 0.1 9.5 0.5 6.575 1 4.225
311 0.1 9.125 0.5 6.175 1 4.15
312 0.1 8.9 0.5 5.825 1 4.325
313 0.1 9.725 0.5 6.75 1 4.55
314 0.1 9.275 0.5 6.725 1 5.05
315 0.1 9.6 0.5 6.875 1 4.7
316 0.1 9.575 0.5 6.825 1 5
317 0.1 8.725 0.5 6.05 1 4.3
318 0.1 9.5 0.5 7.275 1 5
319 0.1 8.7 0.5 6.175 1 4.075
320 0.1 9.2 0.5 6.25 1 4.6
321 0.1 9.5 0.5 6.8 1 4.6
322 0.1 9.25 0.5 6.625 1 4.575
323 0.1 9.025 0.5 6 1 3.725
324 0.1 9.65 0.5 6.375 1 4.95
325 0.1 8.65 0.5 5.575 1 4.15
326 0.1 9.05 0.5 7.175 1 4.975
327 0.1 9.025 0.5 6.9 1 3.975
328 0.1 8.9 0.5 7.125 1 5.125
329 0.1 9.25 0.5 6.525 1 4.8
330 0.1 9.425 0.5 7.025 1 4.45
331 0.1 9 0.5 6.375 1 4.25
332 0.1 9.3 0.5 6.75 1 4.375
333 0.1 8.85 0.5 6.625 1 4.275
334 0.1 9.575 0.5 6.8 1 4.225
335 0.1 8.825 0.5 6.85 1 4.9
336 0.1 9.625 0.5 7.075 1 4.675
337 0.1 9.425 0.5 6.375 1 4.1
338 0.1 9.775 0.5 7.3 1 4.475
339 0.1 9.05 0.5 6.25 1 4.025
340 0.1 9.375 0.5 6.675 1 4.475
341 0.1 9.225 0.5 6.45 1 4.175
342 0.1 9.475 0.5 7.7 1 5.425
343 0.1 9.275 0.5 6.475 1 4.475
344 0.1 10 0.5 6.825 1 4.5
345 0.1 8.825 0.5 7.075 1 4.425
346 0.1 9.725 0.5 6.625 1 4.35
347 0.1 9.525 0.5 6.575 1 5.05
348 0.1 9.325 0.5 6.6 1 3.9
349 0.1 9.5 0.5 6.05 1 4.325
350 0.1 9.175 0.5 6.575 1 3.8
351 0.1 8.9 0.5 6.6 1 4.75
352 0.1 9.55 0.5 6.95 1 4.5
353 0.1 9.075 0.5 6.5 1 4.225
354 0.1 9.975 0.5 6.575 1 4.775
355 0.1 9.425 0.5 6.675 1 4.725
356 0.1 8.7 0.5 6.225 1 4.475
357 0.1 9.525 0.5 7.225 1 4.575
358 0.1 9.225 0.5 6.6 1 4.175
359 0.1 9.75 0.5 7.7 1 5.775
360 0.1 9.375 0.5 6.925 1 4.45
361 0.1 9.025 0.5 5.925 1 4.05
362 0.1 9.1 0.5 6.25 1 4.425
363 0.1 9.45 0.5 6.65 1 5.075
364 0.1 9.2 0.5 7.175 1 5.425
365 0.1 9.5 0.5 6.8 1 4.425
366 0.1 9.25 0.5 6.275 1 4.475
367 0.1 9.425 0.5 7.25 1 4.3
368 0.1 9.075 0.5 6.7 1 4.6
369 0.1 9 0.5 6.775 1 5.35
370 0.1 8.9 0.5 5.45 1 3.85
371 0.1 9.45 0.5 7.275 1 4.15
372 0.1 9.075 0.5 6.225 1 4.35
373 0.1 8.875 0.5 6.5 1 4.15
374 0.1 9.25 0.5 6 1 3.725
375 0.1 9.15 0.5 6.85 1 4.75
376 0.1 8.9 0.5 5.625 1 3.475
377 0.1 9.6 0.5 7 1 5.1
378 0.1 9.25 0.5 6.85 1 4.325
379 0.1 9.2 0.5 6.675 1 4.825
380 0.1 9.225 0.5 6.8 1 4.575
381 0.1 9.375 0.5 7.1 1 4.325
382 0.1 9.7 0.5 6.075 1 3.675
383 0.1 9.125 0.5 6.6 1 4.2
384 0.1 9.4 0.5 6.875 1 4.325
385 0.1 9.225 0.5 6.15 1 3.775
386 0.1 9.325 0.5 6.175 1 4.425
387 0.1 9 0.5 6.65 1 5.025
388 0.1 9.5 0.5 7.225 1 4.575
389 0.1 8.775 0.5 6.125 1 4.325
390 0.1 9.075 0.5 6.35 1 4.3
391 0.1 9.675 0.5 6.45 1 3.875
392 0.1 9.55 0.5 7.275 1 4.45
393 0.1 9.45 0.5 6.675 1 4.3
394 0.1 9.575 0.5 6.575 1 3.9
395 0.1 9.5 0.5 7 1 4.325
396 0.1 9.45 0.5 7.4 1 5
397 0.1 8.95 0.5 6.325 1 4.225
398 0.1 9.75 0.5 6.5 1 4.7
399 0.1 8.95 0.5 6.4 1 4.175
400 0.1 8.95 0.5 6.45 1 3.65
401 0.1 8.575 0.5 6.55 1 4.2
402 0.1 9.475 0.5 6.65 1 4.5
403 0.1 9.35 0.5 7.4 1 5.325
404 0.1 9.425 0.5 6.725 1 4.1
405 0.1 9.175 0.5 6.4 1 5.125
406 0.1 9.15 0.5 6.15 1 4.025
407 0.1 9.65 0.5 7.55 1 5
408 0.1 9.5 0.5 7.1 1 5.425
409 0.1 9.525 0.5 7.9 1 5.35
410 0.1 8.875 0.5 5.825 1 3.5
411 0.1 9.075 0.5 5.65 1 3.875
412 0.1 9.25 0.5 6.475 1 4.5
413 0.1 9.1 0.5 6.5 1 4.125
414 0.1 9.425 0.5 6.625 1 4.2
415 0.1 9.525 0.5 7 1 4.7
416 0.1 9.45 0.5 6.95 1 4.7
417 0.1 9.65 0.5 7.175 1 4.9
418 0.1 9.075 0.5 6.775 1 4.65
419 0.1 9.75 0.5 7.25 1 5.325
420 0.1 9.45 0.5 6.8 1 4.625
421 0.1 9.425 0.5 7.425 1 5.05
422 0.1 9.725 0.5 6.275 1 3.9
423 0.1 8.9 0.5 6.5 1 4.975
424 0.1 9.45 0.5 6.05 1 3.9
425 0.1 9.375 0.5 6.725 1 4.75
426 0.1 9.8 0.5 8.2 1 5.4
427 0.1 9.1 0.5 6.675 1 5.175
428 0.1 9.3 0.5 6.425 1 4.05
429 0.1 9.6 0.5 6.75 1 4.975
430 0.1 9.55 0.5 6.525 1 3.825
431 0.1 8.825 0.5 6.35 1 4.275
432 0.1 8.4 0.5 6.1 1 3.425
433 0.1 9.2 0.5 7.625 1 5.425
434 0.1 9.375 0.5 5.75 1 4.075
435 0.1 8.975 0.5 7.125 1 4.65
436 0.1 9.475 0.5 7.125 1 4.65
437 0.1 9.1 0.5 6.4 1 4.575
438 0.1 9.5 0.5 7.1 1 5.025
439 0.1 9.8 0.5 6.25 1 4.425
440 0.1 9.45 0.5 7.225 1 4.475
441 0.1 9.325 0.5 6.6 1 4.525
442 0.1 9.375 0.5 7.05 1 4.4
443 0.1 9 0.5 6.675 1 4.425
444 0.1 9.125 0.5 6.975 1 4.525
445 0.1 9.45 0.5 7.25 1 4.625
