### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
214 0.1 50.55 0.5 52.95 1 55.4
215 0.1 50.5 0.5 51.95 1 54.5
216 0.1 50.2 0.5 51.75 1 54.3
217 0.1 50.75 0.5 51.8 1 55.3
218 0.1 50.65 0.5 51.45 1 53.95
219 0.1 50.45 0.5 53.05 1 54.8
220 0.1 50.55 0.5 52.6 1 55.1
221 0.1 50.4 0.5 52.6 1 55.75
222 0.1 50.7 0.5 53.6 1 56.8
223 0.1 50.5 0.5 51.65 1 54.35
224 0.1 50.3 0.5 51.7 1 55.25
225 0.1 50.3 0.5 52.25 1 53.75
226 0.1 50.45 0.5 51.35 1 54.7
227 0.1 50.5 0.5 53.2 1 55.9
228 0.1 50.5 0.5 52.7 1 54.6
229 0.1 50.3 0.5 52.4 1 54.4
230 0.1 50.55 0.5 52.6 1 55.05
231 0.1 50.4 0.5 52.45 1 55.15
232 0.1 51.1 0.5 52.5 1 54.7
233 0.1 50.75 0.5 52.25 1 53.7
234 0.1 50.45 0.5 51.4 1 54.35
235 0.1 50.75 0.5 52.5 1 55.9
236 0.1 50.7 0.5 53.05 1 56.4
237 0.1 49.75 0.5 52.55 1 55.75
238 0.1 50.85 0.5 51.2 1 53.7
239 0.1 50.75 0.5 52.7 1 54.8
240 0.1 50.15 0.5 53.2 1 56.05
241 0.1 50.2 0.5 52.35 1 54.5
242 0.1 50.1 0.5 51.8 1 55.1
243 0.1 50.7 0.5 51.75 1 54.95
244 0.1 50.9 0.5 52.25 1 54.75
245 0.1 50.65 0.5 52.5 1 55.7
246 0.1 50.2 0.5 53.3 1 56.95
247 0.1 50.85 0.5 53.2 1 56.15
248 0.1 50.8 0.5 52.2 1 54.85
249 0.1 49.95 0.5 52.4 1 54.75
250 0.1 50.7 0.5 52.65 1 56.35
251 0.1 50.95 0.5 52.65 1 55.2
252 0.1 50 0.5 52.9 1 56.95
253 0.1 50.15 0.5 52 1 55.15
254 0.1 50.2 0.5 53.4 1 56.6
255 0.1 50.55 0.5 52.7 1 55.85
256 0.1 50.1 0.5 52.8 1 55.15
257 0.1 50.5 0.5 52.05 1 54.5
258 0.1 50.4 0.5 54 1 55.45
259 0.1 50.3 0.5 52.45 1 55.15
260 0.1 51.1 0.5 53.75 1 55.75
261 0.1 50.75 0.5 52.3 1 55.1
262 0.1 50.75 0.5 53.6 1 54
263 0.1 50.1 0.5 51.7 1 54.35
264 0.1 50.35 0.5 53.1 1 55.9
265 0.1 50.4 0.5 52.3 1 55.4
266 0.1 50.75 0.5 52.65 1 54.2
267 0.1 50.6 0.5 52.4 1 54.5
268 0.1 50.95 0.5 52.8 1 55.75
269 0.1 51.05 0.5 53.65 1 55.5
270 0.1 51.2 0.5 53.35 1 56.85
271 0.1 50.65 0.5 52.9 1 54.9
272 0.1 50.5 0.5 52.4 1 53.7
273 0.1 50.25 0.5 52.25 1 55.1
274 0.1 50.65 0.5 52.35 1 55.7
275 0.1 50.65 0.5 51.7 1 54.6
276 0.1 50.25 0.5 51.35 1 54.35
277 0.1 51.15 0.5 53 1 55.8
278 0.1 50 0.5 51.8 1 55.1
279 0.1 50.8 0.5 53.55 1 57.2
280 0.1 50.65 0.5 51.95 1 54.2
281 0.1 50.6 0.5 52.35 1 54.75
282 0.1 50.6 0.5 52.65 1 54.45
283 0.1 50.05 0.5 51.95 1 55.2
284 0.1 50.65 0.5 51.9 1 54.55
285 0.1 50.55 0.5 53.65 1 57.8
286 0.1 50.15 0.5 51.5 1 53.85
287 0.1 50.5 0.5 51.6 1 53.45
288 0.1 50.35 0.5 52.8 1 55.45
289 0.1 50.95 0.5 53.45 1 56.25
290 0.1 50.3 0.5 51.9 1 56.1
291 0.1 50.65 0.5 52.05 1 55.55
292 0.1 50.9 0.5 52.75 1 54.9
293 0.1 50.4 0.5 51.5 1 53.15
294 0.1 50.1 0.5 52.85 1 56.45
295 0.1 50.85 0.5 53.15 1 56.1
296 0.1 50.5 0.5 52.25 1 54.95
297 0.1 50.65 0.5 51.65 1 53.85
298 0.1 50.8 0.5 53 1 55.2
299 0.1 50.4 0.5 51.85 1 53.9
300 0.1 50.65 0.5 52.4 1 55.4
301 0.1 50.5 0.5 52.5 1 53.85
302 0.1 50.45 0.5 53.15 1 56.2
303 0.1 50.7 0.5 54.1 1 56.55
304 0.1 50.95 0.5 53.35 1 56.15
305 0.1 50.55 0.5 52.05 1 53.35
306 0.1 50.3 0.5 52.9 1 54.7
307 0.1 50.4 0.5 52.95 1 54.8
308 0.1 50.85 0.5 52.6 1 54.2
309 0.1 50.9 0.5 53.55 1 56.2
310 0.1 50.05 0.5 52.4 1 52.8
311 0.1 50.7 0.5 53.05 1 55.75
312 0.1 50.45 0.5 52.35 1 54.8
313 0.1 50.15 0.5 51.85 1 55.6
314 0.1 50.8 0.5 52.55 1 56.1
315 0.1 50.4 0.5 52.7 1 55.85
316 0.1 50.65 0.5 52.4 1 54.7
317 0.1 50.65 0.5 51.9 1 54.95
318 0.1 50.6 0.5 51.75 1 52.7
319 0.1 50.3 0.5 52.3 1 55.2
320 0.1 50.25 0.5 52.45 1 55
321 0.1 50.55 0.5 52.55 1 55.6
322 0.1 50.5 0.5 52.15 1 54.6
323 0.1 49.9 0.5 51.75 1 54.7
324 0.1 50.85 0.5 52.55 1 54.9
325 0.1 50.8 0.5 53.15 1 55.35
326 0.1 49.7 0.5 51.6 1 55.3
327 0.1 50.5 0.5 53 1 56.15
328 0.1 50.4 0.5 52.4 1 54.95
329 0.1 50.65 0.5 52.3 1 54.45
330 0.1 50 0.5 51.65 1 54.6
331 0.1 50 0.5 53.8 1 58.45
332 0.1 50.55 0.5 51.7 1 54.05
333 0.1 50.45 0.5 52.9 1 55.35
334 0.1 50.4 0.5 52.1 1 55.1
335 0.1 50.05 0.5 52.95 1 54.65
336 0.1 50.7 0.5 53.3 1 56.05
337 0.1 50.75 0.5 51.95 1 54
338 0.1 50.4 0.5 51.95 1 54.85
